,name,city,country,iata_code,latitude,longitude,links_count
2606,Lann Bihoue,Lorient,France,LRT,47.760555,-3.44,4
2607,St Gatien,Deauville,France,DOL,49.365339,0.154306,4
2608,Sachs Harbour,Sachs Harbour,Canada,YSY,71.993889,-125.2425,4
2609,Vatry,Chalons,France,XCR,48.776072,4.184492,4
2610,Caumont,Avignon,France,AVN,43.9073,4.901831,4
2611,Resolute Bay,Resolute,Canada,YRB,74.716944,-94.969444,4
2612,Bassillac,Perigueux,France,PGX,45.198055,0.815556,4
2613,La Garenne,Agen,France,AGF,44.174721,0.590556,4
2614,Sydney,Sydney,Canada,YQY,46.161388,-60.047779,4
2615,Talavera La Real,Badajoz,Spain,BJZ,38.89125,-6.821333,4
2616,Plovdiv,Plovdiv,Bulgaria,PDV,42.067806,24.850833,4
2617,El Fashir,El Fasher,Sudan,ELF,13.614892,25.32465,4
2618,Gondar,Gondar,Ethiopia,GDQ,12.5199,37.434047,4
2619,Axum,Axum,Ethiopia,AXU,14.14675,38.772833,4
2620,Preguica,Sao Nocolau Island,Cape Verde,SNE,16.588356,-24.284656,4
2621,Fort Chipewyan,Fort Chipewyan,Canada,YPY,58.767223,-111.117222,4
2622,Prince Rupert,Prince Pupert,Canada,YPR,54.28611,-130.444722,4
2623,Ouarzazate,Ouarzazate,Morocco,OZZ,30.939053,-6.909431,4
2624,Monrovia Spriggs Payne,Monrovia,Liberia,MLW,6.289061,-10.758722,4
2625,Port Menier,Port Menier,Canada,YPN,49.836389,-64.288611,4
2626,Mbuji Mayi,Mbuji-mayi,Congo (Kinshasa),MJM,-6.121236,23.569008,4
2627,Kindu,Kindu,Congo (Kinshasa),KND,-2.919178,25.915361,4
2628,Bukavu Kavumu,Bukavu/kavumu,Congo (Kinshasa),BKY,-2.3089779999999998,28.808803,4
2629,Bunia,Bunia,Congo (Kinshasa),BUX,1.565719,30.220833,4
2630,Thule Air Base,Thule,Greenland,THU,76.531203,-68.703161,4
2631,Oriximina Airport,Oriximina,Brazil,ORX,-1.714167,-55.836111,3
2632,Ourilandia do Norte Airport,Ourilandia do Norte,Brazil,OIA,-6.763056,-51.05,3
2633,Patos de Minas Airport,Patos de Minas,Brazil,POJ,-18.672778,-46.491111,3
2634,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY,-6.711944,156.396111,3
2635,Crooked Creek Airport,Crooked Creek,United States,CKD,61.867778,-158.135,3
2636,Coffman Cove Seaplane Base,Coffman Cove,United States,KCC,56.014722,-132.833889,3
2637,Scammon Bay Airport,Scammon Bay,United States,SCM,61.845278,-165.571389,3
2638,Port Lions Airport,Port Lions,United States,ORI,57.885278,-152.846111,3
2639,Old Harbor Airport,Old Harbor,United States,OLH,57.218056,-153.269722,3
2640,Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD,38.263889,-78.896389,3
2641,Bella Coola Airport,Bella Coola,Canada,QBC,52.3875,-126.596,3
